#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
    1244	PLE   	TYC 1803-1061-1            	             	03 45 04.03	+25 15 27.6	  21.00	 2.00	 -45.00	 0.40	  5.40	 0.90	150.00	10.00	           	   	  5	 12       	  5	J03450400+2515282	J034504.02+251527.7	  69840875517213184	                                          	TYC 1803-1061-1
    1245	PLE   	HD 23326                   	F2V          	03 45 05.30	+23 42 08.9	  19.70	 0.70	 -45.80	 0.40	  5.70	 0.60	135.00	 6.00	           	   	  5	100       	  5	J03450528+2342097	J034505.29+234209.1	  65188085906203520	                                          	HD 23326
    1246	PLE   	HD 23325                   	Am           	03 45 06.56	+24 15 48.0	  19.30	 0.50	 -42.40	 0.60	  8.00	 2.00	123.00	 7.00	           	   	  5	 80       	  5	J03450653+2415486	J034506.55+241548.1	  65275497080596480	                                          	HD 23325
    1247	PLE   	HIP 17525                  	             	03 45 08.23	+26 17 32.4	  19.60	 0.20	 -45.50	 0.10	  4.00	 0.40	132.00	 8.00	           	   	  5	 20       	  5	J03450820+2617330	J034508.21+261732.5	  70242781377368704	                                          	HIP 17525
    1248	PLE   	V519 Tau                   	             	03 45 16.15	+24 07 15.6	  17.00	 0.50	 -43.20	 0.40	  4.90	 0.20	140.00	20.00	           	   	255	256       	255	J03451612+2407162	J034516.14+240715.8	  65270446199756672	DANCe J034516.14+240716.0                 	V519 Tau
    1249	PLE   	2MASS J03452219+2328182    	             	03 45 22.21	+23 28 17.5	  19.30	 0.40	 -44.20	 0.30	  5.00	 0.10	120.00	20.00	           	   	255	256       	255	J03452219+2328182	J034522.20+232817.6	  65164171528305792	DANCe J034522.19+232818.1                 	2MASS J03452219+2328182
    1250	PLE   	HD 23352                   	F5V          	03 45 24.15	+24 53 08.9	  20.10	 0.50	 -45.10	 0.30	  6.00	 1.00	132.00	 5.00	           	   	  5	100       	  5	J03452412+2453095	J034524.14+245309.0	  69819022723623296	                                          	HD 23352
    1251	PLE   	HD 23361                   	A3V          	03 45 26.17	+24 02 05.8	  21.30	 0.40	 -46.90	 0.50	 10.00	 5.00	122.00	 4.00	           	   	  5	 80       	  5	J03452613+2402065	J034526.15+240206.0	  65222205126393984	                                          	HD 23361
    1252	PLE   	HD 23336                   	A2           	03 45 27.56	+28 40 06.6	  22.07	 0.05	 -50.01	 0.03	 -1.00	 2.00	119.00	 7.00	           	   	  5	 20       	  5	J03452754+2840073	J034527.55+284006.8	  71729527256889216	                                          	HD 23336
    1253	PLE   	OT Tau                     	Ke           	03 45 29.60	+23 45 37.1	  18.30	 0.30	 -46.60	 0.20	  5.54	 0.09	140.00	20.00	           	 85	255	256       	255	J03452957+2345379	J034529.58+234537.3	  65190216209980416	DANCe J034529.58+234537.6                 	OT Tau
    1254	PLE   	2MASS J03453021+2418455    	M?           	03 45 30.25	+24 18 44.8	  17.80	 0.50	 -46.50	 0.40	  4.90	 0.40	130.00	20.00	           	258	255	256       	255	J03453021+2418455	J034530.23+241845.0	  65281235156902400	DANCe J034530.23+241845.2                 	2MASS J03453021+2418455
    1255	PLE   	HD 23388                   	A3           	03 45 32.01	+21 14 47.4	  20.55	 0.06	 -47.73	 0.04	  6.00	 3.00	128.00	 6.00	           	   	  5	 20       	  5	J03453199+2114481	J034531.99+211447.6	  63502259702709888	DANCe J034531.99+211448.1                 	HD 23388
    1256	PLE   	OQ Tau                     	M            	03 45 39.06	+25 13 27.2	  20.20	 0.30	 -43.50	 0.30	  4.51	 0.04	130.00	20.00	           	   	255	256       	255	J03453903+2513278	J034539.05+251327.4	  69860288770135296	DANCe J034539.04+251327.6                 	OQ Tau
    1257	PLE   	V787 Tau                   	             	03 45 44.10	+24 04 26.2	  17.80	 0.30	 -44.40	 0.20	  5.00	 0.10	130.00	20.00	           	   	255	256       	255	J03454407+2404268	J034544.08+240426.3	  65222514364038016	DANCe J034544.08+240426.7                 	V787 Tau
    1258	PLE   	BD+25 610                  	G0           	03 45 45.15	+25 35 44.2	  18.70	 0.80	 -42.60	 0.40	 -0.80	 0.30	150.00	 6.00	           	   	  5	100       	  5	J03454512+2535449	J034545.13+253544.3	  69922239378409088	                                          	BD+25 610
    1259	PLE   	HD 23410                   	A0V          	03 45 48.84	+23 08 49.0	  20.52	 0.05	 -45.61	 0.03	  3.00	 1.00	130.00	10.00	           	   	  5	 20       	  5	J03454881+2308498	J034548.81+230849.7	  64956123312029952	DANCe J034548.82+230849.7                 	HD 23410
    1260	PLE   	OW Tau                     	Me           	03 45 48.96	+23 51 09.7	  19.70	 0.40	 -44.30	 0.30	  5.58	 0.07	140.00	20.00	           	   	255	256       	255	J03454893+2351103	J034548.95+235109.9	  65214474185265792	DANCe J034548.95+235110.2                 	OW Tau
    1261	PLE   	HD 23409                   	A2V          	03 45 51.66	+24 02 19.3	  19.70	 0.50	 -44.90	 0.40	  6.00	 2.00	135.00	 5.00	           	   	  5	 80       	  5	J03455163+2402200	J034551.64+240219.4	  65221483571888128	                                          	HD 23409
    1262	PLE   	21 Tau                     	B8V          	03 45 54.50	+24 33 15.5	  20.02	 0.05	 -45.95	 0.03	  6.00	 0.60	130.00	10.00	           	   	  5	 20       	  5	J03455447+2433162	J034554.49+243315.5	  66798492484311936	DANCe J034554.48+243316.2                 	21 Tau
    1263	PLE   	HD 23430                   	A0           	03 45 59.16	+25 23 54.3	  20.29	 0.05	 -45.37	 0.04	  7.00	 2.00	132.00	 6.00	           	   	  5	 20       	  5	J03455913+2523549	J034559.15+252354.4	  69872039800655744	DANCe J034559.14+252354.9                 	HD 23430
    1264	PLE   	22 Tau                     	A0Vn         	03 46 02.92	+24 31 39.8	  19.63	 0.04	 -44.88	 0.03	  7.00	 1.00	130.00	10.00	           	116	  5	 20       	  5	J03460288+2431403	J034602.91+243139.9	  66786500935624320	DANCe J034602.90+243140.4                 	22 Tau
    1265	PLE   	2MASS J03460651+2350204    	             	03 46 06.54	+23 50 19.8	  19.60	 0.30	 -45.70	 0.20	  5.00	 0.20	120.00	10.00	           	   	255	256       	255	J03460651+2350204	J034606.53+235019.9	  65202826233980160	DANCe J034606.52+235020.2                 	2MASS J03460651+2350204
    1266	PLE   	V638 Tau                   	M0e          	03 46 07.53	+24 22 27.1	  18.90	 0.50	 -44.90	 0.40	  4.69	 0.06	120.00	20.00	           	   	255	256       	255	J03460750+2422278	J034607.52+242227.3	  66781316909399424	DANCe J034607.52+242227.4                 	V638 Tau
    1267	PLE   	2MASS J03461793+2441095    	             	03 46 17.96	+24 41 08.9	  18.10	 0.70	 -41.30	 0.70	  5.10	 0.20	150.00	20.00	           	   	255	256       	255	J03461793+2441095	J034617.95+244109.1	  66807460376303104	DANCe J034617.95+244109.2                 	2MASS J03461793+2441095
    1268	PLE   	BD+23 521                  	F8V          	03 46 18.01	+23 29 11.3	  21.00	 3.00	 -43.00	 1.00	  5.30	 0.40	150.00	20.00	           	   	  5	100       	  5	J03461799+2329119	J034618.00+232911.5	  64981927476000128	                                          	BD+23 521
    1269	PLE   	HIP 17607                  	             	03 46 19.36	+20 52 46.6	  20.40	 0.20	 -44.10	 0.10	  7.60	 0.40	138.00	 6.00	           	   	  5	 20       	  5	J03461933+2052472	J034619.35+205246.8	  63289916519862656	                                          	HIP 17607
    1270	PLE   	HD 23489                   	A2V          	03 46 27.30	+24 15 17.3	  20.00	 0.40	 -44.30	 0.30	  4.00	 2.00	129.00	 5.00	           	   	  5	 80       	  5	J03462728+2415181	J034627.29+241517.5	  65231482255770112	DANCe J034627.28+241518.0                 	HD 23489
    1271	PLE   	HD 282952                  	F9           	03 46 27.38	+25 08 07.2	  21.50	 0.80	 -45.70	 0.40	  6.30	 0.90	134.00	 4.00	           	 12	  5	 12       	  5	J03462735+2508080	J034627.36+250807.4	  69847610026687104	                                          	HD 282952
    1272	PLE   	V446 Tau                   	K8           	03 46 28.65	+24 45 31.7	  18.00	 1.00	 -46.20	 0.90	  4.38	 0.06	120.00	20.00	           	   	255	256       	255	J03462862+2445323	J034628.63+244531.8	  66808216289364352	DANCe J034628.64+244532.0                 	V446 Tau
    1273	PLE   	2MASS J03463287+2318191    	K6e          	03 46 32.89	+23 18 18.5	  21.10	 0.30	 -44.70	 0.30	  5.80	 0.10	140.00	20.00	           	   	255	256       	255	J03463287+2318191	J034632.88+231818.7	  64964713247087872	DANCe J034632.87+231819.1                 	2MASS J03463287+2318191
    1274	PLE   	HD 23512                   	A2V          	03 46 34.22	+23 37 25.8	  21.30	 0.60	 -42.80	 0.40	  1.00	 5.00	128.00	 4.00	           	260	  5	 80       	  5	J03463420+2337264	J034634.21+233726.0	  65008693712182656	DANCe J034634.20+233726.5                 	HD 23512
    1275	PLE   	V448 Tau                   	KV           	03 46 35.93	+23 58 00.6	  17.10	 0.70	 -41.70	 0.70	  4.68	 0.08	130.00	20.00	           	   	255	100,256   	255	J03463590+2358013	J034635.92+235800.7	  65211141290662400	DANCe J034635.92+235800.9                 	V448 Tau
    1276	PLE   	HD 282975                  	G6V          	03 46 37.70	+23 47 15.1	  19.70	 0.70	 -47.10	 0.40	  7.50	 0.10	130.00	 4.00	           	259	  5	100       	  5	J03463767+2347159	J034637.69+234715.3	  65199974375696512	                                          	HD 282975
    1277	PLE   	HD 23514                   	F5V          	03 46 38.41	+22 55 10.5	  19.30	 0.70	 -43.30	 0.40	 13.00	 2.00	137.00	 5.00	           	 90	  5	 80       	  5	J03463839+2255112	J034638.40+225510.7	  64808204638390912	                                          	HD 23514
    1278	PLE   	HD 282954                  	G0V          	03 46 38.80	+24 57 34.0	  20.20	 0.80	 -46.80	 0.40	  5.70	 0.30	133.00	 4.00	           	 85	  5	100       	  5	J03463878+2457346	J034638.78+245734.2	  66838452861270272	                                          	HD 282954
    1279	PLE   	V814 Tau                   	K3V          	03 46 39.41	+24 01 46.2	  19.50	 0.40	 -44.90	 0.30	  6.00	 0.50	130.00	20.00	           	   	255	100       	255	J03463938+2401468	J034639.40+240146.4	  65223613875687552	DANCe J034639.39+240146.7                 	V814 Tau
    1280	PLE   	HD 23513                   	F5V          	03 46 40.02	+23 06 36.5	  19.40	 0.70	 -46.40	 0.40	  6.50	 0.90	134.00	 5.00	           	261	  5	100       	  5	J03463999+2306373	J034640.01+230636.6	  64952824777149440	                                          	HD 23513
    1281	PLE   	2MASS J03464358+2359425    	             	03 46 43.61	+23 59 41.8	  18.90	 0.30	 -44.90	 0.20	  5.10	 0.20	130.00	20.00	           	   	255	256       	255	J03464358+2359425	J034643.60+235942.0	  65211553608006272	DANCe J034643.59+235942.4                 	2MASS J03464358+2359425
    1282	PLE   	BD+22 552                  	F8           	03 46 47.08	+22 54 51.8	  18.30	 0.90	 -44.30	 0.50	  6.50	 0.90	134.00	 5.00	           	 12	  5	 12       	  5	J03464706+2254525	J034647.07+225452.0	  64899017426872960	                                          	BD+22 552
    1283	PLE   	PT Tau                     	M?           	03 46 49.23	+24 35 59.4	  20.20	 0.40	 -43.00	 0.30	  5.20	 0.10	140.00	20.00	           	258	255	256       	255	J03464920+2436001	J034649.21+243559.6	  66793579040829312	DANCe J034649.21+243559.8                 	PT Tau
    1284	PLE   	2MASS J03465326+2252513    	G8V          	03 46 53.28	+22 52 50.7	  19.50	 0.60	 -48.30	 0.50	  6.50	 0.20	130.00	10.00	           	   	255	100       	255	J03465326+2252513	J034653.27+225250.9	  64804837384031488	DANCe J034653.27+225251.0                 	2MASS J03465326+2252513
    1285	PLE   	V860 Tau                   	             	03 46 54.05	+25 14 44.4	  18.90	 0.30	 -45.60	 0.20	  5.45	 0.09	150.00	20.00	           	   	255	256       	255	J03465403+2514449	J034654.04+251444.5	  69854344535518080	DANCe J034654.03+251444.8                 	V860 Tau
    1286	PLE   	HD 23568                   	B9.5V        	03 46 59.42	+24 31 11.7	  20.31	 0.06	 -46.61	 0.05	  9.10	 0.80	132.00	 5.00	           	   	  5	 20       	  5	J03465940+2431124	J034659.41+243111.9	  66789868189090816	DANCe J034659.40+243112.4                 	HD 23568
    1287	PLE   	TYC 1800-2027-1            	K0V          	03 47 01.44	+23 29 41.1	  19.70	 0.90	 -45.30	 0.50	  5.80	 0.20	134.00	 6.00	           	   	  5	100       	  5	J03470141+2329419	J034701.43+232941.3	  64979728452744192	                                          	TYC 1800-2027-1
    1288	PLE   	V1210 Tau                  	F0V          	03 47 04.24	+23 59 42.1	  22.70	 0.70	 -44.90	 0.50	  5.00	 2.00	140.00	 6.00	           	   	  5	 80       	  5	J03470421+2359426	J034704.22+235942.3	  65212103363335296	DANCe J034704.21+235942.8                 	V1210 Tau
    1289	PLE   	V536 Tau                   	M            	03 47 09.46	+23 44 31.2	  19.60	 0.30	 -44.40	 0.20	  4.90	 0.30	120.00	20.00	           	   	255	256       	255	J03470943+2344318	J034709.45+234431.4	  65011408132105344	DANCe J034709.45+234431.6                 	V536 Tau
    1290	PLE   	V815 Tau                   	K4V          	03 47 13.55	+23 42 50.8	  17.40	 0.40	 -45.20	 0.40	  5.90	 0.20	150.00	20.00	           	   	255	100,256   	255	J03471352+2342515	J034713.54+234251.0	  65010549138050944	DANCe J034713.54+234251.1                 	V815 Tau
    1291	PLE   	V647 Tau                   	A7V          	03 47 19.37	+24 08 20.2	  17.90	 0.80	 -43.50	 0.40	  6.00	 2.00	131.00	 5.00	           	   	  5	 80       	  5	J03471935+2408208	J034719.35+240820.3	  66715273197982848	                                          	V647 Tau
    1292	PLE   	HD 23598                   	F8           	03 47 20.90	+25 31 32.3	  18.50	 0.80	 -45.00	 0.40	  3.00	 2.00	131.00	 5.00	           	   	  5	 28       	  5	J03472088+2531331	J034720.89+253132.5	  69964879813013248	                                          	HD 23598
    1293	PLE   	HD 23632                   	A1V          	03 47 20.99	+23 48 11.4	  19.08	 0.05	 -45.46	 0.03	  4.90	 0.80	140.00	 7.00	           	   	  5	 20       	  5	J03472096+2348121	J034720.98+234811.6	  65017627244152064	DANCe J034720.97+234812.0                 	HD 23632
    1294	PLE   	2MASS J03472103+2406586    	A0V          	03 47 21.06	+24 06 57.9	  20.90	 0.30	 -44.70	 0.30	  8.00	 2.00	127.00	 7.00	           	   	  5	 34       	  5	J03472103+2406586	J034721.05+240658.1	  66715101399291392	DANCe J034721.04+240658.6                 	2MASS J03472103+2406586
    1295	PLE   	HD 23610                   	A0           	03 47 22.92	+22 55 18.9	  21.62	 0.05	 -47.04	 0.03	 12.00	 3.00	150.00	20.00	           	   	  5	 20       	  5	J03472289+2255196	J034722.91+225519.1	  64898364591843712	DANCe J034722.90+225519.6                 	HD 23610
    1296	PLE   	V1087 Tau                  	             	03 47 23.00	+24 50 55.6	  18.40	 0.80	 -47.60	 0.70	  4.50	 0.30	120.00	20.00	           	   	255	256       	255	J03472296+2450562	J034722.99+245055.7	  66821650948858368	DANCe J034722.99+245055.9                 	V1087 Tau
    1297	PLE   	HD 23631                   	A0V          	03 47 24.44	+23 54 52.2	  18.90	 0.40	 -43.80	 0.40	  3.00	 5.00	131.00	 5.00	           	254	  5	 80       	  5	J03472440+2354529	J034724.44+235452.5	  65207705316826752	                                          	HD 23631
    1298	PLE   	2MASS J03472534+2402570    	MV           	03 47 25.36	+24 02 56.3	  18.80	 0.50	 -43.30	 0.50	  5.90	 0.20	150.00	20.00	           	   	255	256       	255	J03472534+2402570	J034725.35+240256.5	  65212756200828416	DANCe J034725.35+240256.7                 	2MASS J03472534+2402570
    1299	PLE   	V650 Tau                   	A3Van        	03 47 26.85	+23 40 41.3	  22.20	 0.40	 -45.00	 0.30	  9.00	 2.00	135.00	 5.00	           	262	  5	 80       	  5	J03472682+2340421	J034726.84+234041.5	  65007078804476928	                                          	V650 Tau
    1300	PLE   	Alcyone                    	B7III        	03 47 29.08	+24 06 18.5	  19.30	 0.40	 -43.70	 0.30	  5.00	 1.00	124.00	 6.00	           	   	 16	 20       	 16	J03472908+2406184	J034728.80+240606.6	                   	                                          	Alcyone
    1301	PLE   	V1229 Tau                  	A0V          	03 47 29.47	+24 17 17.3	  18.48	 0.05	 -46.91	 0.04	  5.00	 3.00	132.00	 7.00	           	260	  5	 20       	  5	J03472945+2417180	J034729.46+241717.5	  66729876086786944	DANCe J034729.45+241718.0                 	V1229 Tau
    1302	PLE   	QT Tau                     	M            	03 47 30.61	+24 22 13.3	  19.70	 0.40	 -46.40	 0.30	  4.90	 0.10	130.00	20.00	           	   	255	256       	255	J03473059+2422141	J034730.60+242213.4	  66737400868712832	DANCe J034730.60+242213.7                 	QT Tau
    1303	PLE   	QV Tau                     	M?           	03 47 33.48	+23 41 32.3	  19.90	 0.40	 -41.60	 0.30	  6.40	 0.50	150.00	20.00	           	258	255	257       	255	J03473345+2341330	J034733.46+234132.5	  65007216243992448	DANCe J034733.47+234132.7                 	QV Tau
    1304	PLE   	V703 Tau                   	K5           	03 47 33.70	+24 41 02.4	  17.80	 0.60	 -47.10	 0.60	  5.42	 0.07	140.00	20.00	           	   	255	256       	255	J03473367+2441032	J034733.69+244102.6	  66816290827884032	DANCe J034733.69+244102.8                 	V703 Tau
    1305	PLE   	V1172 Tau                  	K6           	03 47 38.03	+23 28 04.3	  21.30	 0.30	 -41.90	 0.20	  5.16	 0.08	130.00	10.00	           	   	255	256       	255	J03473800+2328051	J034738.02+232804.5	  64990586130069504	DANCe J034738.02+232804.8                 	V1172 Tau
    1306	PLE   	2MASS J03473804+2449110    	             	03 47 38.07	+24 49 10.4	  18.50	 0.30	 -41.90	 0.20	  5.00	 0.20	140.00	20.00	           	   	255	256       	255	J03473804+2449110	J034738.06+244910.6	  66820585796946176	DANCe J034738.05+244911.1                 	2MASS J03473804+2449110
    1307	PLE   	HD 282967                  	G5           	03 47 40.47	+24 21 51.7	  15.90	 0.70	 -45.20	 0.60	  5.20	 0.30	130.00	20.00	           	 84	255	100       	255	J03474044+2421525	J034740.45+242151.9	  66737091630935296	DANCe J034740.46+242152.1                 	HD 282967
    1308	PLE   	V541 Tau                   	             	03 47 41.20	+23 44 24.4	  20.10	 0.40	 -44.20	 0.40	  5.80	 0.40	140.00	20.00	           	   	255	256       	255	J03474117+2344251	J034741.19+234424.5	  65013469715810688	DANCe J034741.19+234424.7                 	V541 Tau
    1309	PLE   	HD 23664                   	A2           	03 47 46.86	+25 23 07.8	  19.47	 0.07	 -45.72	 0.05	  5.00	 3.00	136.00	 5.00	           	   	  5	 20       	  5	J03474683+2523085	J034746.85+252308.0	  69948249699646720	                                          	HD 23664
    1310	PLE   	TYC 1800-2170-1            	G7V          	03 47 48.14	+23 13 04.4	  20.80	 0.60	 -46.00	 0.30	  7.30	 0.20	136.00	 5.00	           	   	  5	100       	  5	J03474811+2313053	J034748.12+231304.7	  64913448517448192	                                          	TYC 1800-2170-1
    1311	PLE   	V654 Tau                   	             	03 47 50.96	+24 30 18.1	  17.60	 0.30	 -46.40	 0.20	  4.90	 0.30	130.00	20.00	           	   	255	256       	255	J03475094+2430188	J034750.95+243018.3	  66742760987998592	DANCe J034750.95+243018.7                 	V654 Tau
    1312	PLE   	PS Tau                     	             	03 47 55.29	+23 19 05.3	  16.60	 0.30	 -39.50	 0.20	  5.80	 0.20	160.00	20.00	           	   	255	256       	255	J03475526+2319060	J034755.28+231905.5	  64938565486384512	DANCe J034755.28+231905.7                 	PS Tau
    1313	PLE   	V340 Tau                   	             	03 48 05.84	+23 02 02.3	  18.70	 0.30	 -43.40	 0.20	  5.90	 0.20	140.00	20.00	           	   	255	256       	255	J03480581+2302030	J034805.83+230202.4	  64895134776616448	DANCe J034805.83+230202.8                 	V340 Tau
    1314	PLE   	V658 Tau                   	             	03 48 07.98	+23 44 23.0	  17.60	 0.40	 -42.70	 0.30	  5.50	 0.30	140.00	20.00	           	   	255	256       	255	J03480796+2344238	J034807.96+234423.2	  65014191270912384	DANCe J034807.97+234423.4                 	V658 Tau
    1315	PLE   	HD 23733                   	A9V          	03 48 13.58	+24 19 05.6	  18.60	 0.50	 -43.50	 0.50	  8.00	 2.00	141.00	 9.00	           	   	  5	 80       	  5	J03481354+2419063	J034813.56+241905.8	  66724447247218048	                                          	HD 23733
    1316	PLE   	V458 Tau                   	             	03 48 13.79	+23 37 58.8	  15.50	 0.50	 -42.20	 0.50	  5.20	 0.20	140.00	20.00	           	   	255	256       	255	J03481377+2337596	J034813.77+233759.0	  64999554022290816	DANCe J034813.78+233759.1                 	V458 Tau
    1317	PLE   	HD 23732                   	F4V          	03 48 16.89	+25 12 53.8	  15.70	 0.70	 -44.80	 0.50	  6.60	 0.50	131.00	 6.00	           	   	  5	100       	  5	J03481686+2512546	J034816.87+251253.8	  66939848447027584	                                          	HD 23732
    1318	PLE   	V343 Tau                   	K7.5         	03 48 17.31	+24 30 15.2	  18.40	 0.30	 -49.20	 0.20	  4.70	 0.20	110.00	20.00	           	   	255	256       	255	J03481729+2430160	J034817.30+243015.4	  66739977848981760	DANCe J034817.30+243015.7                 	V343 Tau
    1319	PLE   	2MASS J03481983+2336121    	             	03 48 19.85	+23 36 11.3	  17.00	 0.70	 -43.10	 0.70	  5.00	 0.30	130.00	20.00	           	   	255	256       	255	J03481983+2336121	J034819.83+233611.6	  64998901187232768	DANCe J034819.84+233611.7                 	2MASS J03481983+2336121
    1320	PLE   	2MASS J03482280+2448537    	             	03 48 22.83	+24 48 52.9	  19.50	 0.30	 -46.40	 0.20	  5.80	 0.20	150.00	20.00	           	   	255	100,256   	255	J03482280+2448537	J034822.81+244853.2	  66818318054210048	DANCe J034822.81+244853.5                 	2MASS J03482280+2448537
    1321	PLE   	HD 23763                   	A2V          	03 48 30.12	+24 20 43.2	  18.00	 0.90	 -43.90	 0.80	  7.00	 1.00	130.00	20.00	           	166	255	 20       	 16	J03483009+2420441	J034830.11+242043.4	  66725374960152320	DANCe J034830.10+242043.9                 	HD 23763
    1322	PLE   	2MASS J03483451+2326053    	G0V          	03 48 34.53	+23 26 04.6	  17.00	 2.00	 -44.00	 1.00	  5.70	 0.20	140.00	20.00	           	   	255	100,256   	255	J03483451+2326053	J034834.52+232604.8	  64941211186036352	DANCe J034834.52+232604.9                 	2MASS J03483451+2326053
    1323	PLE   	HD 23791                   	A8V          	03 48 43.92	+23 15 34.7	  19.40	 0.40	 -44.40	 0.30	  2.00	 2.00	143.00	 6.00	           	   	  5	 80       	  5	J03484389+2315354	J034843.90+231534.9	  64933755122821120	                                          	HD 23791
    1324	PLE   	2MASS J03490232+2315088    	K0V          	03 49 02.36	+23 15 08.1	  16.00	 2.00	 -44.00	 1.00	  5.90	 0.20	140.00	20.00	           	   	255	100       	255	J03490232+2315088	J034902.34+231508.3	  64923275402619776	DANCe J034902.35+231508.4                 	2MASS J03490232+2315088
    1325	PLE   	HD 23863                   	A7V          	03 49 12.21	+23 53 11.8	  19.40	 0.40	 -44.90	 0.40	  5.00	 5.00	128.00	 5.00	           	   	  5	 80       	  5	J03491219+2353126	J034912.20+235312.0	  66506331628024832	DANCe J034912.19+235312.5                 	HD 23863
    1326	PLE   	HD 23872                   	A2V          	03 49 16.82	+24 23 45.4	  19.10	 0.40	 -43.80	 0.40	  3.00	 5.00	143.00	 6.00	           	   	  5	 80       	  5	J03491679+2423461	J034916.81+242345.6	  66746437479801088	                                          	HD 23872
    1327	PLE   	HD 23873                   	B9.5V        	03 49 21.77	+24 22 50.8	  18.76	 0.04	 -45.32	 0.02	  7.20	 0.90	139.00	 9.00	           	   	  5	 20       	  5	J03492173+2422515	J034921.76+242251.0	  66745612851296256	DANCe J034921.75+242251.4                 	HD 23873
